Id,CAD=X,len,datetime,open,high,low,close,volume,openinterest,adjclose,TestStrategy,len,datetime,MovingAverageSimple,len,sma,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus
74,CAD=X,74,2007-11-02 23:59:59.999989,0.95,0.95,0.93,0.93,0.0,0.0,0.9344,TestStrategy,74,732982.9999999999,MovingAverageSimple,74,0.9626666666666667,Broker,74,999.6999999999999,999.6999999999999,BuySell,74,,,Trades - Net Profit/Loss,74,,
75,CAD=X,75,2007-11-05 23:59:59.999989,0.94,0.94,0.93,0.93,0.0,0.0,0.9329,TestStrategy,75,732985.9999999999,MovingAverageSimple,75,0.9593333333333334,Broker,75,999.6999999999999,999.6999999999999,BuySell,75,,,Trades - Net Profit/Loss,75,,
76,CAD=X,76,2007-11-06 23:59:59.999989,0.93,0.93,0.92,0.92,0.0,0.0,0.9187,TestStrategy,76,732986.9999999999,MovingAverageSimple,76,0.9553333333333334,Broker,76,999.6999999999999,999.6999999999999,BuySell,76,,,Trades - Net Profit/Loss,76,,
77,CAD=X,77,2007-11-07 23:59:59.999989,0.92,0.94,0.91,0.93,0.0,0.0,0.9333,TestStrategy,77,732987.9999999999,MovingAverageSimple,77,0.9526666666666667,Broker,77,999.6999999999999,999.6999999999999,BuySell,77,,,Trades - Net Profit/Loss,77,,
78,CAD=X,78,2007-11-08 23:59:59.999989,0.93,0.94,0.92,0.93,0.0,0.0,0.9348,TestStrategy,78,732988.9999999999,MovingAverageSimple,78,0.95,Broker,78,999.6999999999999,999.6999999999999,BuySell,78,,,Trades - Net Profit/Loss,78,,
79,CAD=X,79,2007-11-09 23:59:59.999989,0.93,0.94,0.93,0.94,0.0,0.0,0.9386,TestStrategy,79,732989.9999999999,MovingAverageSimple,79,0.9486666666666667,Broker,79,999.6999999999999,999.6999999999999,BuySell,79,,,Trades - Net Profit/Loss,79,,
80,CAD=X,80,2007-11-12 23:59:59.999989,0.94,0.97,0.94,0.97,0.0,0.0,0.9692,TestStrategy,80,732992.9999999999,MovingAverageSimple,80,0.9480000000000001,Broker,80,999.6999999999999,999.6999999999999,BuySell,80,,,Trades - Net Profit/Loss,80,,
81,CAD=X,81,2007-11-13 23:59:59.999989,0.97,0.97,0.95,0.96,0.0,0.0,0.9574,TestStrategy,81,732993.9999999999,MovingAverageSimple,81,0.9473333333333332,Broker,81,989.9999999999999,999.5999999999999,BuySell,81,0.93575,,Trades - Net Profit/Loss,81,,
82,CAD=X,82,2007-11-14 23:59:59.999989,0.96,0.97,0.95,0.97,0.0,0.0,0.9654,TestStrategy,82,732994.9999999999,MovingAverageSimple,82,0.9473333333333332,Broker,82,989.9999999999999,999.6999999999999,BuySell,82,,,Trades - Net Profit/Loss,82,,
83,CAD=X,83,2007-11-15 23:59:59.999989,0.97,0.99,0.96,0.99,0.0,0.0,0.9852,TestStrategy,83,732995.9999999999,MovingAverageSimple,83,0.9486666666666667,Broker,83,989.9999999999999,999.8999999999999,BuySell,83,,,Trades - Net Profit/Loss,83,,
84,CAD=X,84,2007-11-16 23:59:59.999989,0.99,0.99,0.97,0.97,0.0,0.0,0.9723,TestStrategy,84,732996.9999999999,MovingAverageSimple,84,0.9493333333333334,Broker,84,989.9999999999999,999.6999999999999,BuySell,84,,,Trades - Net Profit/Loss,84,,
85,CAD=X,85,2007-11-19 23:59:59.999989,0.97,0.98,0.97,0.98,0.0,0.0,0.9838,TestStrategy,85,732999.9999999999,MovingAverageSimple,85,0.9513333333333333,Broker,85,989.9999999999999,999.7999999999998,BuySell,85,,,Trades - Net Profit/Loss,85,,
86,CAD=X,86,2007-11-20 23:59:59.999989,0.98,0.99,0.97,0.98,0.0,0.0,0.9816,TestStrategy,86,733000.9999999999,MovingAverageSimple,86,0.9533333333333334,Broker,86,989.9999999999999,999.7999999999998,BuySell,86,,,Trades - Net Profit/Loss,86,,
87,CAD=X,87,2007-11-21 23:59:59.999989,0.98,0.99,0.98,0.99,0.0,0.0,0.9872,TestStrategy,87,733001.9999999999,MovingAverageSimple,87,0.956,Broker,87,989.9999999999999,999.8999999999999,BuySell,87,,,Trades - Net Profit/Loss,87,,
88,CAD=X,88,2007-11-22 23:59:59.999989,0.99,0.99,0.98,0.99,0.0,0.0,0.9851,TestStrategy,88,733002.9999999999,MovingAverageSimple,88,0.9586666666666667,Broker,88,989.9999999999999,999.8999999999999,BuySell,88,,,Trades - Net Profit/Loss,88,,
89,CAD=X,89,2007-11-23 23:59:59.999989,0.98,0.99,0.98,0.99,0.0,0.0,0.9892,TestStrategy,89,733003.9999999999,MovingAverageSimple,89,0.9626666666666667,Broker,89,989.9999999999999,999.8999999999999,BuySell,89,,,Trades - Net Profit/Loss,89,,
90,CAD=X,90,2007-11-27 23:59:59.999989,0.99,1.0,0.98,1.0,0.0,0.0,0.9957,TestStrategy,90,733007.9999999999,MovingAverageSimple,90,0.9673333333333333,Broker,90,989.9999999999999,999.9999999999999,BuySell,90,,,Trades - Net Profit/Loss,90,,
91,CAD=X,91,2007-11-28 23:59:59.999989,1.0,1.0,0.98,0.99,0.0,0.0,0.9866,TestStrategy,91,733008.9999999999,MovingAverageSimple,91,0.972,Broker,91,989.9999999999999,999.8999999999999,BuySell,91,,,Trades - Net Profit/Loss,91,,
92,CAD=X,92,2007-11-29 23:59:59.999989,0.99,1.0,0.98,1.0,0.0,0.0,0.9968,TestStrategy,92,733009.9999999999,MovingAverageSimple,92,0.9766666666666667,Broker,92,989.9999999999999,999.9999999999999,BuySell,92,,,Trades - Net Profit/Loss,92,,
93,CAD=X,93,2007-11-30 23:59:59.999989,1.0,1.0,0.99,1.0,0.0,0.0,1.0004,TestStrategy,93,733010.9999999999,MovingAverageSimple,93,0.9813333333333333,Broker,93,989.9999999999999,999.9999999999999,BuySell,93,,,Trades - Net Profit/Loss,93,,
94,CAD=X,94,2007-12-03 23:59:59.999989,1.0,1.0,1.0,1.0,0.0,0.0,0.9997,TestStrategy,94,733013.9999999999,MovingAverageSimple,94,0.9853333333333333,Broker,94,989.9999999999999,999.9999999999999,BuySell,94,,,Trades - Net Profit/Loss,94,,
95,CAD=X,95,2007-12-04 23:59:59.999989,1.0,1.01,1.0,1.01,0.0,0.0,1.0121,TestStrategy,95,733014.9999999999,MovingAverageSimple,95,0.988,Broker,95,989.9999999999999,1000.0999999999999,BuySell,95,,,Trades - Net Profit/Loss,95,,
96,CAD=X,96,2007-12-05 23:59:59.999989,1.01,1.02,1.01,1.01,0.0,0.0,1.0115,TestStrategy,96,733015.9999999999,MovingAverageSimple,96,0.9913333333333333,Broker,96,989.9999999999999,1000.0999999999999,BuySell,96,,,Trades - Net Profit/Loss,96,,
97,CAD=X,97,2007-12-06 23:59:59.999989,1.01,1.02,1.01,1.01,0.0,0.0,1.0083,TestStrategy,97,733016.9999999999,MovingAverageSimple,97,0.994,Broker,97,989.9999999999999,1000.0999999999999,BuySell,97,,,Trades - Net Profit/Loss,97,,
