===============================================================================
Id,CAD=X,len,datetime,open,high,low,close,volume,openinterest,adjclose,MeanRevertingTimeSeries,len,datetime,ZScore,len,zscore,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus
1,CAD=X,1,2007-07-23 23:59:59.999989,1.05,1.05,1.04,1.05,0.0,0.0,1.04676,MeanRevertingTimeSeries,1,732880.9999999999,ZScore,1,,Broker,1,1000.0,1000.0,BuySell,1,,,Trades - Net Profit/Loss,1,,
2,CAD=X,2,2007-07-24 23:59:59.999989,1.05,1.05,1.03,1.04,0.0,0.0,1.0366,MeanRevertingTimeSeries,2,732881.9999999999,ZScore,2,,Broker,2,1000.0,1000.0,BuySell,2,,,Trades - Net Profit/Loss,2,,
3,CAD=X,3,2007-07-25 23:59:59.999989,1.04,1.04,1.03,1.04,0.0,0.0,1.0418,MeanRevertingTimeSeries,3,732882.9999999999,ZScore,3,,Broker,3,1000.0,1000.0,BuySell,3,,,Trades - Net Profit/Loss,3,,
4,CAD=X,4,2007-07-26 23:59:59.999989,1.04,1.06,1.04,1.05,0.0,0.0,1.0536,MeanRevertingTimeSeries,4,732883.9999999999,ZScore,4,,Broker,4,1000.0,1000.0,BuySell,4,,,Trades - Net Profit/Loss,4,,
5,CAD=X,5,2007-07-27 23:59:59.999989,1.05,1.07,1.05,1.06,0.0,0.0,1.0639,MeanRevertingTimeSeries,5,732884.9999999999,ZScore,5,,Broker,5,1000.0,1000.0,BuySell,5,,,Trades - Net Profit/Loss,5,,
6,CAD=X,6,2007-07-30 23:59:59.999989,1.06,1.07,1.06,1.07,0.0,0.0,1.06556,MeanRevertingTimeSeries,6,732887.9999999999,ZScore,6,,Broker,6,1000.0,1000.0,BuySell,6,,,Trades - Net Profit/Loss,6,,
7,CAD=X,7,2007-07-31 23:59:59.999989,1.07,1.07,1.06,1.07,0.0,0.0,1.0668,MeanRevertingTimeSeries,7,732888.9999999999,ZScore,7,,Broker,7,1000.0,1000.0,BuySell,7,,,Trades - Net Profit/Loss,7,,
8,CAD=X,8,2007-08-01 23:59:59.999989,1.07,1.07,1.06,1.06,0.0,0.0,1.056,MeanRevertingTimeSeries,8,732889.9999999999,ZScore,8,,Broker,8,1000.0,1000.0,BuySell,8,,,Trades - Net Profit/Loss,8,,
9,CAD=X,9,2007-08-02 23:59:59.999989,1.06,1.06,1.05,1.05,0.0,0.0,1.053,MeanRevertingTimeSeries,9,732890.9999999999,ZScore,9,,Broker,9,1000.0,1000.0,BuySell,9,,,Trades - Net Profit/Loss,9,,
10,CAD=X,10,2007-08-03 23:59:59.999989,1.05,1.06,1.05,1.05,0.0,0.0,1.0521,MeanRevertingTimeSeries,10,732891.9999999999,ZScore,10,,Broker,10,1000.0,1000.0,BuySell,10,,,Trades - Net Profit/Loss,10,,
